Rd,Home,HS,VS,Visiting
1,Ολυμπιακός Σ.Φ.Π.,3,0,Α.Ε.Κ. 
1,Π.Α.Ο.Κ.,3,0,Παναθηναϊκός Α.Ο.
1,Μ.Γ.Σ.Εθνικός,3,2,Ηρακλής Πετ.
1,Α.Ο.Π.Κηφισιάς,3,2,Α.Ε.Κομοτηνής
2,Ηρακλής Πετ.,3,0,Α.Ο.Π.Κηφισιάς 
2,Γ.Α.Σ.Παμβοχαϊκός,3,0,Α.Ο.Φοίνικας
2,Α.Ε.Κομοτηνής,2,3,Π.Α.Ο.Κ.
2,Παναθηναϊκός Α.Ο.,2,3,Ολυμπιακός Σ.Φ.Π. 
3,Ολυμπιακός Σ.Φ.Π.,3,1,Α.Ε.Κομοτηνής
3,Π.Α.Ο.Κ.,3,0,Ηρακλής Πετ. 
3,Μ.Γ.Σ.Εθνικός,3,2,Γ.Α.Σ.Παμβοχαϊκός
3,Α.Ε.Κ.,3,2,Παναθηναϊκός Α.Ο. 
4,Ηρακλής Πετ.,2,3,Ολυμπιακός Σ.Φ.Π. 
4,Γ.Α.Σ.Παμβοχαϊκός,3,1,Α.Ο.Π.Κηφισιάς
4,Α.Ο.Φοίνικας,3,0,Μ.Γ.Σ.Εθνικός
4,Α.Ε.Κομοτηνής,3,1,Α.Ε.Κ. 
5,Π.Α.Ο.Κ.,3,2,Γ.Α.Σ.Παμβοχαϊκός
5,Α.Ε.Κ.,3,2,Ηρακλής Πετ. 
5,Α.Ο.Π.Κηφισιάς,2,3,Α.Ο.Φοίνικας
5,Παναθηναϊκός Α.Ο.,3,0,Α.Ε.Κομοτηνής 
6,Α.Ο.Φοίνικας,3,2,Π.Α.Ο.Κ. 
6,Γ.Α.Σ.Παμβοχαϊκός,1,3,Ολυμπιακός Σ.Φ.Π.
6,Μ.Γ.Σ.Εθνικός,3,0,Α.Ο.Π.Κηφισιάς
6,Ηρακλής Πετ.,2,3,Παναθηναϊκός Α.Ο. 
7,Ολυμπιακός Σ.Φ.Π.,3,2,Α.Ο.Φοίνικας 
7,Π.Α.Ο.Κ.,3,0,Μ.Γ.Σ.Εθνικός
7,Α.Ε.Κομοτηνής,0,3,Ηρακλής Πετ.
7,Α.Ε.Κ.,1,3,Γ.Α.Σ.Παμβοχαϊκός 
8,Μ.Γ.Σ.Εθνικός,0,3,Ολυμπιακός Σ.Φ.Π.
8,Α.Ο.Π.Κηφισιάς,0,3,Π.Α.Ο.Κ. 
8,Α.Ο.Φοίνικας,2,3,Α.Ε.Κ.
8,Γ.Α.Σ.Παμβοχαϊκός,0,3,Παναθηναϊκός Α.Ο. 
9,Παναθηναϊκός Α.Ο.,3,2,Α.Ο.Φοίνικας 
9,Α.Ε.Κ.,3,0,Μ.Γ.Σ.Εθνικός
9,Ολυμπιακός Σ.Φ.Π.,3,0,Α.Ο.Π.Κηφισιάς
9,Α.Ε.Κομοτηνής,0,3,Γ.Α.Σ.Παμβοχαϊκός
10,Π.Α.Ο.Κ.,0,3,Ολυμπιακός Σ.Φ.Π. 
10,Γ.Α.Σ.Παμβοχαϊκός,3,0,Ηρακλής Πετ.
10,Α.Ο.Π.Κηφισιάς,3,2,Α.Ε.Κ.
10,Α.Ο.Φοίνικας,3,1,Α.Ε.Κομοτηνής
10,Μ.Γ.Σ.Εθνικός,0,3,Παναθηναϊκός Α.Ο. 
11,Ηρακλής Πετ.,0,3,Α.Ο.Φοίνικας 
11,Α.Ε.Κ.,0,3,Π.Α.Ο.Κ.
11,Παναθηναϊκός Α.Ο.,3,0,Α.Ο.Π.Κηφισιάς
11,Α.Ε.Κομοτηνής,0,3,Μ.Γ.Σ.Εθνικός
12,Ηρακλής Πετ.,3,0,Μ.Γ.Σ.Εθνικός
12,Α.Ε.Κομοτηνής,1,3,Α.Ο.Π.Κηφισιάς
12,Παναθηναϊκός Α.Ο.,0,3,Π.Α.Ο.Κ. 
12,Α.Ε.Κ.,1,3,Ολυμπιακός Σ.Φ.Π. 
13,Α.Ο.Π.Κηφισιάς,3,0,Ηρακλής Πετ. 
13,Π.Α.Ο.Κ.,3,0,Α.Ε.Κομοτηνής
13,Α.Ο.Φοίνικας,3,0,Γ.Α.Σ.Παμβοχαϊκός
13,Ολυμπιακός Σ.Φ.Π.,3,1,Παναθηναϊκός Α.Ο. 
14,Παναθηναϊκός Α.Ο.,3,0,Α.Ε.Κ. 
14,Γ.Α.Σ.Παμβοχαϊκός,3,2,Μ.Γ.Σ.Εθνικός
14,Ηρακλής Πετ.,1,3,Π.Α.Ο.Κ.
14,Α.Ε.Κομοτηνής,1,3,Ολυμπιακός Σ.Φ.Π.
15,Μ.Γ.Σ.Εθνικός,3,2,Α.Ο.Φοίνικας
15,Α.Ε.Κ.,3,1,Α.Ε.Κομοτηνής
15,Ολυμπιακός Σ.Φ.Π.,3,0,Ηρακλής Πετ. 
15,Α.Ο.Π.Κηφισιάς,3,0,Γ.Α.Σ.Παμβοχαϊκός 
16,Ηρακλής Πετ.,3,0,Α.Ε.Κ. 
16,Γ.Α.Σ.Παμβοχαϊκός,3,1,Π.Α.Ο.Κ.
16,Α.Ε.Κομοτηνής,1,3,Παναθηναϊκός Α.Ο.
16,Α.Ο.Φοίνικας,2,3,Α.Ο.Π.Κηφισιάς
17,Π.Α.Ο.Κ.,3,1,Α.Ο.Φοίνικας 
17,Παναθηναϊκός Α.Ο.,3,1,Ηρακλής Πετ.
17,Ολυμπιακός Σ.Φ.Π.,3,0,Γ.Α.Σ.Παμβοχαϊκός
17,Α.Ο.Π.Κηφισιάς,3,1,Μ.Γ.Σ.Εθνικός 
18,Α.Ο.Φοίνικας,3,2,Ολυμπιακός Σ.Φ.Π.
18,Μ.Γ.Σ.Εθνικός,0,3,Π.Α.Ο.Κ. 
18,Ηρακλής Πετ.,3,0,Α.Ε.Κομοτηνής
18,Γ.Α.Σ.Παμβοχαϊκός,3,2,Α.Ε.Κ. 
19,Ολυμπιακός Σ.Φ.Π.,3,0,Μ.Γ.Σ.Εθνικός
19,Παναθηναϊκός Α.Ο.,3,2,Γ.Α.Σ.Παμβοχαϊκός 
19,Π.Α.Ο.Κ.,3,0,Α.Ο.Π.Κηφισιάς
19,Α.Ε.Κ.,0,3,Α.Ο.Φοίνικας
20,Μ.Γ.Σ.Εθνικός,0,3,Α.Ε.Κ. 
20,Α.Ο.Φοίνικας,0,3,Παναθηναϊκός Α.Ο.
20,Γ.Α.Σ.Παμβοχαϊκός,3,0,Α.Ε.Κομοτηνής
20,Α.Ο.Π.Κηφισιάς,3,1,Ολυμπιακός Σ.Φ.Π.
21,Α.Ε.Κομοτηνής,1,3,Α.Ο.Φοίνικας
21,Ολυμπιακός Σ.Φ.Π.,3,1,Π.Α.Ο.Κ. 
21,Α.Ε.Κ.,1,3,Α.Ο.Π.Κηφισιάς
21,Παναθηναϊκός Α.Ο.,3,1,Μ.Γ.Σ.Εθνικός
21,Ηρακλής Πετ.,3,1,Γ.Α.Σ.Παμβοχαϊκός 
22,Α.Ο.Φοίνικας,2,3,Ηρακλής Πετ.
22,Μ.Γ.Σ.Εθνικός,3,0,Α.Ε.Κομοτηνής
22,Α.Ο.Π.Κηφισιάς,2,3,Παναθηναϊκός Α.Ο.
22,Π.Α.Ο.Κ.,3,0,Α.Ε.Κ.
